"type_2","type_3","id","dob","country","head_of_org","revenue","last_edited_by","last_edited_date","date_added","raw_source","algorithm"
"Organization","Company","Abbott, Mcbride and Edwards",NA,"Uziland","Émilie-Susan Benoit",5994.73,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Abbott-Gomez",NA,"Mawalara","Honoré Lemoine",71766.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Abbott-Harrison",NA,"Uzifrica","Jules Labbé",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Abbott-Ibarra",NA,"Islavaragon","Dr. Víctor Hurtado",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Abbott-Sullivan",NA,"Oceanus","Jacques Le Roux de Leclercq",4746.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acevedo and Sons",NA,"Imazam","Thierry de la Joseph",46566.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acevedo PLC",NA,"Mawalara","Margaux de Chrétien",16966.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acevedo, Lloyd and Young",NA,"Uzifrica","Micheletto Gibilisco",110666.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acevedo, Miller and Edwards",NA,"Novarctica","Rolando Pepe",29866.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acevedo, Thompson and Myers",NA,"Oceanus","Patrick Jean",620417.14,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acosta LLC",NA,"Oceanus","Sig.ra Liana Cremonesi",72112.79,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","LogisticsCompany","Acosta, Campbell and Leblanc",NA,"Lumakari","James Dawson",14667942.4,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Acosta, Fields and Moore",NA,"Valtalmo","Gregory Hobbs",27754.69,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acosta-Buchanan",NA,"Oceanus","Jacqueline Bailey",120666.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","FishingCompany","Acosta-Flores",NA,"Mawalara","Alessio Romiti",24766.67,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Acosta-Madden",NA,"Oceanus","Brigitte Langlois-Pierre",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams and Sons",NA,"Mawandia","Gabriel Raynaud-Royer",73027.09,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
"Organization","Company","Adams Group",NA,"Zambarka","Yves Muller",0,"Pelagia Alethea Mordoch",2035-01-01,2035-01-01,"Existing Corporate Structure Data","Automatic Import"
